Name,Cuisines,Area,Full_Address,AverageCost,Total Reviews,Total Ratings,Cost Category,Features,Testing Features,bag_of_words
Jyoti Vihar,south indian,Camac Street Area,"3A/1, Ho Chi Minh Sarani, Camac Street Area, Kolkata",300,6428,4.1,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,south indian homedelivery takeaway vegonly indoorseating midrange
WOW! Momo,"momos, fast food, tibetan",Park Street Area,"57, Park Street, Beside Vodafone Store, Park Street Area, Kolkata",350,11569,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,momos fast food tibetan homedelivery takeaway indoorseating midrange
Zam Zam,"biryani, rolls",Park Circus Area,"28/A, Syed Amir Ali Avenue, Park Circus Area, Kolkata",500,85001,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani rolls homedelivery takeaway indoorseating expensive
Daily Bhoj,bengali,Topsia,"139/1G, Tljala Road, Topsia, Kolkata",150,2260,3.9,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
Behnam,"biryani, north indian, mughlai, rolls, kebab, awadhi, lucknowi",Topsia,"139/1G, Tiljala Road, Near OYO Townhouse 229, Topsia, Kolkata",200,151,2.9,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,biryani north indian mughlai rolls kebab awadhi lucknowi homedelivery takeaway midrange
Dilnawaz Biryani Centre,"biryani, mughlai",Tollygunge,"28, Deshpran Shasmal Road, Ward 81 BR X, Near Charu Market Thana, Tollygunge, Kolkata",200,43006,4.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,biryani mughlai homedelivery takeaway midrange
Aminia,"biryani, mughlai, north indian, rolls, kebab",New Market Area,"6A, S.N. Banerjee Road, New Market Area, Kolkata",700,4383,3.9000000000000004,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani mughlai north indian rolls kebab homedelivery takeaway indoorseating expensive
Haka,"chinese, momos, desserts, beverages",Ballygunge,"3A, Uniworth House, Gurusaday Road, Ballygunge, Kolkata",300,712,4.4,midrange,homedelivery   ,homedelivery midrange,chinese momos desserts beverages homedelivery midrange
Arsalan,"biryani, north indian, kebab, bengali",Park Street Area,"119A, Muzaffar Ahmed Street, Park Street Area, Kolkata",600,11005,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani north indian kebab bengali homedelivery takeaway indoorseating expensive
Domino's Pizza,"pizza, fast food, beverages, desserts",Park Street Area,"31, Ward 63, Chowringhee Road, Shakespeare Sarani, Park Street Area, Kolkata",400,4064,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,pizza fast food beverages desserts homedelivery takeaway indoorseating midrange
KFC,"burger, fast food, biryani, desserts, beverages",Park Street Area,"20K, Park Street Area, Kolkata",400,19205,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,burger fast food biryani desserts beverages homedelivery takeaway indoorseating midrange
Pizza Hut,"pizza, fast food, desserts, beverages",Park Street Area,"20 K, Sir William Jones Sarani, Park Street Area, Kolkata",600,5167,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,pizza fast food desserts beverages homedelivery takeaway indoorseating expensive
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"ice cream, desserts",Park Circus Area,"12, Ground Floor, Gora Chand Road, Park Circus Area, Kolkata",100,2174,4.5,cheapeats,homedelivery  vegonly ,homedelivery vegonly cheapeats,ice cream desserts homedelivery vegonly cheapeats
Monginis,"bakery, desserts, fast food",College Street,"131, Ground Floor, Chittaranjan Avenue, College Street, Kolkata",50,206,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts fast food homedelivery takeaway cheapeats
Haldiram's Prabhuji,"mishti, south indian, street food, chinese, fast food, north indian, beverages",Bara Bazar,"7, Jagmohan Mullick Lane, Bara Bazar, Kolkata",300,9223,4.0,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,mishti south indian street food chinese fast food north indian beverages homedelivery takeaway vegonly indoorseating midrange
Pocket Meal 99,"bengali, biryani, north indian, chinese, fast food",Bhawanipur,"54, Harish Mukherjee Road, LP UG, Borough VII, Bhowanipur, Bhawanipur, Kolkata",200,5821,3.8,midrange,homedelivery   ,homedelivery midrange,bengali biryani north indian chinese fast food homedelivery midrange
Burger King,"burger, fast food, beverages",New Market Area,"1, Ground Floor, Humayun Place, New Market Area, Kolkata",350,3129,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,burger fast food beverages homedelivery takeaway indoorseating midrange
Oudh 1590,"biryani, kebab, awadhi, mughlai",Desapriya Park,"Shop 23/B, Desapriya Park, Kolkata",1200,14103,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani kebab awadhi mughlai homedelivery takeaway indoorseating expensive
Balaram Mullick & Radharaman Mullick Sweets,"mishti, desserts, fast food, street food",Theatre Road,"5/2, Ground Floor, Poonam Building, Anandilal Poddar Sarani, Theatre Road, Kolkata",300,5164,4.3,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,mishti desserts fast food street food homedelivery takeaway midrange
Kabuliwala,"biryani, north indian, rolls",Ballygunge,"13/5, Anil Maitra Road, Ballygunge, Kolkata",200,418,4.0,midrange,homedelivery   ,homedelivery midrange,biryani north indian rolls homedelivery midrange
Haldiram's,"north indian, fast food, south indian, street food, chinese, desserts, beverages, mishti",Bara Bazar,"11B, Ground Floor, Dr. Ram Manohar Lohia Sarani, Ward 22, Bara Bazar, Kolkata",300,81,3.9,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,north indian fast food south indian street food chinese desserts beverages mishti homedelivery takeaway vegonly indoorseating midrange
Jai Jawan Stall,"north indian, chinese, mughlai, rolls",Tara Tala,"1, Near CESC, Taratala Road, Tara Tala, Kolkata",500,48417,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese mughlai rolls homedelivery takeaway indoorseating expensive
Subway,"healthy food, fast food, sandwich, salad, beverages, wraps",Park Street Area,"57A, Park Mansion, Park Street Area, Kolkata",400,11276,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,healthy food fast food sandwich salad beverages wraps homedelivery takeaway indoorseating midrange
Mama Mia!,"ice cream, desserts, beverages",Entally,"79/28, Acharya Jagadish Chandra Bose Road, Entally, Kolkata",300,1421,4.4,midrange,homedelivery   ,homedelivery midrange,ice cream desserts beverages homedelivery midrange
Gupta Brothers,"mishti, north indian, south indian, chinese, fast food, street food, beverages, shake",Elgin,"82A, Sambhunath Pandit Street, Elgin, Kolkata",450,8645,4.099999999999999,expensive,homedelivery takeaway vegonly ,homedelivery takeaway vegonly expensive,mishti north indian south indian chinese fast food street food beverages shake homedelivery takeaway vegonly expensive
Haji Saheb,"biryani, mughlai, chinese, north indian, kerala",Park Circus Area,"26, Circus Avenue, Park Circus Area, Kolkata",800,10047,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani mughlai chinese north indian kerala homedelivery takeaway indoorseating expensive
La Pino’z Pizza,"pizza, fast food, beverages",Camac Street Area,"10, Wood Street, Park Street, Shakespere Sarani, Camac Street Area, Kolkata",800,9325,3.8,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,pizza fast food beverages homedelivery takeaway indoorseating expensive
